256	10
Fp2_F4	F4_C4	C4_P4	P4_O2	Fp1_F3	F3_C3	C3_P3	P3_O1	Fp2_F8	F8_T4	T4_T6	T6_O2	Fp1_F7	F7_T3	T3_T5	T5_O1	Fz_Cz	Cz_Pz
7.53096851736649	3.99432600340406	-10.0747961877709	-1.44552255849637	-4.20797153003793	-5.78774333764684	8.30320474509636	7.83848219848896	-3.42064813488714	-0.5703208903425	1.67807020549681	2.31787459169256	0.249433262330123	2.98286120634994	-0.797308649498726	3.71098625205296	-19.1854880683829	7.88638971022807
6.417136972327	2.89335322612014	-8.79952075697391	-1.55766799093917	-6.97636545720539	-4.53860646415269	8.45358216377974	7.6310549402743	-4.94120398199983	-0.413356945800076	0.463774884447716	3.84408749136284	0.790072339478137	2.38397234928849	-1.69344359435384	3.0890640836626	-20.3119394316074	8.91680631749661
5.30950091354324	2.25569984237124	-6.82090740280707	-1.61199875371401	-8.1482873280274	-3.84472528453564	8.55028306520542	7.64700063634836	-5.33972260007068	-0.175582747111767	-0.720545349794977	5.3681452938674	0.878516079727818	2.61382921816545	-1.9620036005279	2.67392938705239	-20.7573129190076	9.81912819666048
4.45554584712548	1.48927184904211	-4.17855783032319	-1.16426593933882	-8.18570039502797	-3.85863088227205	8.60917966828648	8.19379210691184	-4.81262175670446	0.328480871470383	-1.08047015781478	6.16660496707082	-0.398655715084531	3.73835806242216	-1.42398321043121	2.84292135646841	-20.7599566344767	10.7204028482211
4.13202545763063	-0.355557283391324	-0.954124698002396	0.055481405808079	-8.13485971730961	-4.24817864686143	8.71299985658565	9.24175805613397	-3.78832875314998	0.743461103113754	-0.0428764948925293	5.96556902450966	-2.99831264094742	5.2734386493908	-0.490124905109425	3.78671844074266	-20.7357522843651	11.856391685309
4.19721500468836	-3.45535450250028	2.65760757028263	1.89835625657864	-8.31411040066684	-4.65391569285412	8.9952324152342	10.4909707552562	-2.67800535875552	0.508012294565602	2.1770438243958	5.29077356639856	-5.6782988004796	6.50397146339015	0.334073241534008	5.35843116810635	-20.9239311900449	13.4005723636297
4.06717052387498	-6.74831929849416	6.26065707971981	3.85940507416822	-8.01726855372216	-4.9455241898148	9.512592205901	11.61179961387	-1.66203606241438	-0.652003323239044	4.719437159898	5.03351560259823	-6.78369384918355	6.93607856797901	0.895304238603334	7.11391011447204	-21.2573678525363	15.3201732371337
3.32189654409976	-8.73560581461907	9.29207002630897	5.36162937458567	-6.43999471910789	-5.19182938132287	10.1301916573538	12.4183496573787	-0.708801161310217	-2.43417468799257	6.7092370746638	5.67372890260689	-5.62841678131688	6.60028022160653	1.40338423953993	8.54146953016568	-21.4976640345975	17.332264207754
2.27676417554636	-8.77859474140522	11.2535455882612	6.03973738492641	-3.71267851677341	-5.49906549787814	10.563080339102	12.8753831172784	0.184592642321506	-4.07104048246257	7.76428942115063	6.91361082393014	-3.21074274851123	6.01270711761347	2.09318140750553	9.33157366087308	-21.4505021338304	19.0091768395889
1.82678598053542	-7.62392058942299	12.006950818007	5.87551838471876	-0.993115038250129	-5.8250226176044	10.5480391285106	13.0258456766785	0.826956174861568	-4.80847326118226	8.07266242526935	7.99418925251846	-1.44259859989878	5.77163026191808	2.91741081485372	9.50930466827383	-21.0872319370985	20.0008031234333
2.72247083382241	-6.73884714782627	11.8670508696328	5.15298338647845	0.338046666060727	-5.87883473074044	9.99631474465366	12.9539465735854	0.950227609902585	-4.36970712315401	8.08474720703569	8.33839024596971	-1.57489122376066	6.07283202172053	3.55097218380326	9.36056026767034	-20.5398986785763	20.2354361192917
4.98877123775854	-7.15227799482241	11.3932256544943	4.27583509246208	-0.387719392380542	-5.27537568138544	9.03920006826951	12.7972291989506	0.467408911748372	-2.96130511144929	8.03288805317721	7.96656213408002	-3.28794070846074	6.5660105782835	3.6662923809372	9.22897193863174	-20.0195866834033	19.9536226537673
7.85640788334998	-8.74204455540808	11.0899738913752	3.55345968098927	-2.70530093985728	-3.91992788692315	7.97905686241059	12.7389481475311	-0.375507152586774	-0.958577596179723	7.70228655594576	7.38959509080789	-5.12993527546692	6.67207579746075	3.22346540413954	9.32717025303013	-19.7027352004511	19.5543046060224
10.0527856816838	-10.362649713975	11.2759661868908	3.08956211270426	-5.3391840788864	-2.23137567252533	7.16980512554216	12.9310320558749	-1.04639989997098	1.17415019731889	6.81202377537642	7.11589019227677	-5.72615168804311	6.04961757178484	2.54337400317469	9.66343753915715	-19.6251848264606	19.3720133366982
10.3084314434439	-10.6341868108398	12.1249904165777	2.83382728671668	-7.07230146406863	-0.86158951820244	6.84727169835463	13.3854270712536	-0.9796061146461	2.76224423516951	5.65096362269652	7.19946059039201	-4.7096636674933	4.81905055899722	2.09599159135979	10.0934293006089	-19.6489038453298	19.534584660148
8.06906550410397	-8.91540485584614	13.6816169488518	2.72522552496097	-7.49936274621071	-0.152185062394	6.98937751756845	13.9288079887813	0.0364086795531668	3.18841025909534	5.11522887870239	7.22045530244889	-2.74737209823825	3.43568095917061	2.14436267749545	10.4339661555213	-19.5515062521341	19.9677210169492
4.05098921976156	-5.82589409777468	15.7591401607851	2.79104450605249	-7.00374797250734	0.0917350424612122	7.32470887161918	14.2743583265443	1.6218200250026	2.47568001913713	5.95039708062126	6.72738266180779	-0.808009923603088	2.40178453118286	2.53774835836389	10.5555312984475	-19.1879096505287	20.4978442807404
-0.0324753066378887	-2.85450164121888	17.8733607553378	3.1196536631706	-6.06404054724817	0.32480873401797	7.51354606456871	14.1676507722279	3.0167298405112	1.36899772914576	8.00421076477607	5.71609913397767	0.625001800726142	2.06169413909627	2.84548358131473	10.4097854987737	-18.5789435342171	20.9484414090911
-2.62642695280794	-1.29997202588508	19.4090668307951	3.74360624323374	-4.74197467448665	0.841857758788814	7.36178707152899	13.5110406574149	3.61260256268981	0.694665110773542	10.2760139643039	4.64299245534192	1.7354851859254	2.53639535864431	2.68774095131318	10.013089313779	-17.8372680514803	21.1702778483013
-3.40267003936424	-1.42613294911644	19.9648239089181	4.55678803343223	-2.93923404422083	1.61074372912528	6.88976908999841	12.3979630573896	3.31130172725916	0.766958190487421	11.6330050849664	3.98154394894357	2.9027900724651	3.67417560047282	1.95301296316508	9.42926319267747	-17.0198110161914	21.0386674392982
-3.24151731929271	-2.50006323071073	19.5778368454417	5.35816634340343	-0.976612369583391	2.40512751862936	6.22863377392149	11.0516221678593	2.44734578402162	1.43225751086514	11.4697804475669	3.84503889418791	4.17051370833328	4.98594526578808	0.793063604017331	8.75924850924932	-16.0803285352971	20.4787658163983
-3.22559072682466	-3.55034587632942	18.6163893403705	5.98339449834677	0.401700794577767	3.02761796483949	5.48042054264467	9.71197865902511	1.51034788965103	2.39258652340678	9.90043898795993	4.02047383235763	5.23437524696478	5.76556431278308	-0.492866979473366	8.11464537744769	-14.968577516958	19.5161771312875
